artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BLACK;Pronta entrega;5.343,60;2.484,20;2.859,40
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BLACK;09/02/2026;14.858,20;0,00;14.858,20
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BLACK;16/02/2026;15.327,70;4.700,00;10.627,70
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BLACK;20/03/2026;16.000,00;4.200,00;11.800,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BLACK;30/03/2026;18.777,30;0,00;18.777,30
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - RED;Pronta entrega;116,40;0,00;116,40
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - RED;20/03/2026;1.500,00;0,00;1.500,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - IVORY;Pronta entrega;8.930,00;100,00;8.830,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - IVORY;16/02/2026;2.056,10;0,00;2.056,10
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - IVORY;20/03/2026;6.000,00;0,00;6.000,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CHOCOLATE;Pronta entrega;54.633,50;100,00;54.533,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CHOCOLATE;09/02/2026;16.274,90;1.000,00;15.274,90
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CHOCOLATE;20/03/2026;7.000,00;257,50;6.742,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CHOCOLATE;30/03/2026;10.320,50;0,00;10.320,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - DARK GREY;Pronta entrega;30.625,00;2.400,00;28.225,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - DARK GREY;09/02/2026;13.007,40;0,00;13.007,40
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - DARK GREY;16/02/2026;10.664,60;2.400,00;8.264,60
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - DARK GREY;20/03/2026;10.000,00;1.400,00;8.600,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - DARK GREY;30/03/2026;15.167,50;0,00;15.167,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - ICE;Pronta entrega;91.979,90;3.006,80;88.973,10
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - ICE;09/02/2026;20.238,20;0,00;20.238,20
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - ICE;16/02/2026;11.551,20;0,00;11.551,20
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - ICE;30/03/2026;10.855,90;0,00;10.855,90
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - MARINHO;Pronta entrega;0,00;1.000,00;-1000,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - MARINHO;09/02/2026;3.076,20;2.195,20;881,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - MARINHO;16/02/2026;5.678,20;524,60;5.153,60
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - MARINHO;20/03/2026;7.000,00;0,00;7.000,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - MARINHO;30/03/2026;2.975,50;0,00;2.975,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - GRANITO;Pronta entrega;15.784,50;100,00;15.684,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - GRANITO;16/02/2026;7.969,50;0,00;7.969,50
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - GRANITO;30/03/2026;5.000,30;0,00;5.000,30
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CASTOR;Pronta entrega;44.263,60;100,00;44.163,60
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CASTOR;09/02/2026;7.330,90;1.000,00;6.330,90
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CASTOR;20/03/2026;3.800,00;0,00;3.800,00
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - CASTOR;30/03/2026;3.982,80;0,00;3.982,80
14;2026-01-21 13:41:04;000014VELUDO CONFORT - COR: - BEIGE;20/03/2026;8.000,00;0,00;8.000,00
