ARTIGO;DESCRICAO;COR_CODIGO;COR;DESENHO;VARIANTE;SITUACAO;PREVISAO;ESTOQUE;PEDIDOS;DISPONIVEL;DATAHORA
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;09/02/2026;7.330,90;0,00;7.330,90;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;09/02/2026;7.330,90;0,00;7.330,90;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;09/02/2026;7.330,90;0,00;7.330,90;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;09/02/2026;7.330,90;0,00;7.330,90;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;09/02/2026;7.330,90;0,00;7.330,90;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;16/02/2026;15.327,70;0,00;14,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;19/01/2026;3.843,20;0,00;0,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;19/01/2026;3.843,20;0,00;0,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;19/01/2026;3.843,20;0,00;0,00;2026-01-15 11:11:53
000014;VELUDO CONFORT;00005;5 - BLACK;LISO;PADRÃO;TINTO;19/01/2026;3.843,20;0,00;0,00;2026-01-15 11:11:53
