artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;Pronta entrega;2.451,80;0,10;2.451,70,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/01/2026;8.621,50;0,00;8.621,50,23
000030;2026-01-15 11:13:12;000030 VELUDO DIAMOND 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;23/02/2026;11.689,80;0,00,11.689,80;000030
