artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível;arquivo_origem
14;2026-01-21 11:45:22;Produto 14 - Nenhum dado extraído;;0,00;0,00;0,00;produto_14_20260121_114522.csv
15;2026-01-21 11:45:29;Produto 15 - Nenhum dado extraído;;0,00;0,00;0,00;produto_15_20260121_114529.csv
19;2026-01-21 11:45:36;Produto 19 - Nenhum dado extraído;;0,00;0,00;0,00;produto_19_20260121_114536.csv
20;2026-01-21 11:45:44;Produto 20 - Nenhum dado extraído;;0,00;0,00;0,00;produto_20_20260121_114544.csv
23;2026-01-21 11:45:51;Produto 23 - Nenhum dado extraído;;0,00;0,00;0,00;produto_23_20260121_114551.csv
24;2026-01-21 11:45:59;Produto 24 - Nenhum dado extraído;;0,00;0,00;0,00;produto_24_20260121_114559.csv
27;2026-01-21 11:46:06;Produto 27 - Nenhum dado extraído;;0,00;0,00;0,00;produto_27_20260121_114606.csv
28;2026-01-21 11:46:13;Produto 28 - Nenhum dado extraído;;0,00;0,00;0,00;produto_28_20260121_114613.csv
29;2026-01-21 11:46:20;Produto 29 - Nenhum dado extraído;;0,00;0,00;0,00;produto_29_20260121_114620.csv
30;2026-01-21 11:46:28;Produto 30 - Nenhum dado extraído;;0,00;0,00;0,00;produto_30_20260121_114628.csv
