Produto / Cor;Previsão;Estoque;Pedidos;Disponível
000014 - VELUDO CONFORT - COR: 11 - BEIGE;20/03/2026;8.000,00;0,00;8.000,00
000014 - VELUDO CONFORT - COR: 12 - IVORY;Pronta entrega;8.930,00;100,00;8.830,00
000014 - VELUDO CONFORT - COR: 12 - IVORY;16/02/2026;2.056,10;0,00;2.056,10
000014 - VELUDO CONFORT - COR: 12 - IVORY;20/03/2026;6.000,00;0,00;6.000,00
000014 - VELUDO CONFORT - COR: 13 - CHOCOLATE;Pronta entrega;54.633,50;100,00;54.533,50
000014 - VELUDO CONFORT - COR: 13 - CHOCOLATE;09/02/2026;16.274,90;1.000,00;15.274,90
000014 - VELUDO CONFORT - COR: 13 - CHOCOLATE;20/03/2026;7.000,00;257,50;6.742,50
000014 - VELUDO CONFORT - COR: 13 - CHOCOLATE;30/03/2026;10.320,50;0,00;10.320,50
000014 - VELUDO CONFORT - COR: 14 - DARK GREY;Pronta entrega;30.625,00;2.400,00;28.225,00
000014 - VELUDO CONFORT - COR: 14 - DARK GREY;09/02/2026;13.007,40;0,00;13.007,40
000014 - VELUDO CONFORT - COR: 14 - DARK GREY;16/02/2026;10.664,60;2.400,00;8.264,60
000014 - VELUDO CONFORT - COR: 14 - DARK GREY;20/03/2026;10.000,00;1.400,00;8.600,00
000014 - VELUDO CONFORT - COR: 14 - DARK GREY;30/03/2026;15.167,50;0,00;15.167,50
000014 - VELUDO CONFORT - COR: 15 - ICE;Pronta entrega;91.979,90;3.006,80;88.973,10
000014 - VELUDO CONFORT - COR: 15 - ICE;09/02/2026;20.238,20;0,00;20.238,20
000014 - VELUDO CONFORT - COR: 15 - ICE;16/02/2026;11.551,20;0,00;11.551,20
000014 - VELUDO CONFORT - COR: 15 - ICE;30/03/2026;10.855,90;0,00;10.855,90
000014 - VELUDO CONFORT - COR: 34 - MARINHO;Pronta entrega;0,00;1.000,00;-1000,00
000014 - VELUDO CONFORT - COR: 34 - MARINHO;09/02/2026;3.076,20;2.195,20;881,00
000014 - VELUDO CONFORT - COR: 34 - MARINHO;16/02/2026;5.678,20;524,60;5.153,60
000014 - VELUDO CONFORT - COR: 34 - MARINHO;20/03/2026;7.000,00;0,00;7.000,00
000014 - VELUDO CONFORT - COR: 34 - MARINHO;30/03/2026;2.975,50;0,00;2.975,50
