artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - BLACK;Pronta entrega;56.129,30;2.902,00;53.227,30
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - BLACK;16/02/2026;8.877,40;3.000,00;5.877,40
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - BLACK;20/02/2026;10.631,40;0,00;10.631,40
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - RED;Pronta entrega;1.066,60;1.073,70;-7,10
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - RED;16/02/2026;1.704,10;700,00;1.004,10
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - IVORY;Pronta entrega;30.785,80;13.430,00;17.355,80
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - IVORY;16/02/2026;21.377,50;0,00;21.377,50
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - CHOCOLATE;Pronta entrega;10.632,60;4.260,00;6.372,60
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - CHOCOLATE;16/02/2026;13.758,00;5.500,00;8.258,00
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - BLUE;Pronta entrega;1.028,20;180,00;848,20
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - BLUE;16/02/2026;3.295,10;0,00;3.295,10
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - CHAMPAGNE;Pronta entrega;34.228,79;23.230,00;10.998,79
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - CHAMPAGNE;16/02/2026;16.234,90;16.000,00;234,90
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - TIMBER;Pronta entrega;5.656,90;120,00;5.536,90
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - TIMBER;16/02/2026;2.227,50;300,00;1.927,50
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - TERRA COTA;Pronta entrega;3.567,40;3.550,00;17,40
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - TERRA COTA;16/02/2026;2.254,30;920,00;1.334,30
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - KAKI;Pronta entrega;1.981,70;1.470,00;511,70
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - KAKI;16/02/2026;1.120,40;0,00;1.120,40
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - GRAFITE;Pronta entrega;43.062,10;23.170,90;19.891,20
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - GRAFITE;16/02/2026;22.238,50;22.025,80;212,70
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - MARINHO;Pronta entrega;21.109,50;1.370,00;19.739,50
15;2026-01-21 13:41:15;000015VELUDINHO - COR: - MARINHO;16/02/2026;4.456,70;300,00;4.156,70
